10756354#0	Qui était Princesse Diana?
8370225#0	Quels sont les traits importants du genre littéraire science-fiction?
11216039#0	Combien de stations a le métro à Rio de Janeiro?
4325506#0	Quelle est la capitale de la Moldavie?
267015#0	Que signifie un manga?
5358559#0	Qui est Jules Verne?
5627233#0	Quels artistes utilisent Columbia Records en 2022?
37315#0	Quels sont les symboles maçonniques?
5852861#0	Quelle langue parle-t-on à Malte?
12850829#0	Quelles sont les religions les plus communes au Manitoba?
7051999#0	Combien d'états composent les États-Unis?
6471387#0	Quel est le territoire de la Roumanie?
583400#0	Quels sont les principes du taoïsme?
7642949#0	Quelle est la ville la plus peuplée au Québec?
13457127#0	Combien de satellites naturels tournent autour de la Terre?
90696#0	Combien d’enfants avait Léon Tolstoï ?
6302008#0	Quel pourcentage de personnes meurent de cancer?
1305316#0	Quel est le fromage le plus cher au monde?
10877224#0	Quels sont les romans les plus populaires de Charles Dickens?
599000#0	Quel était le but des écoles résidentielles au Canada?
12209576#0	Qui est le président du Togo?
13663890#0	Qui est Socrates?
3952094#0	Quels sont les douze signes astrologiques?
2845689#0	Quelles étaient les batailles les plus importantes dans la mer pendant la Deuxième Guerre mondiale?
12707866#0	Quand a été construit le château de Chenonceau?
107985#0	Qui étaient les cosmonautes en Mir?
12365995#0	Qui a créé le gatka?
11378805#0	Quelles sont les traditions différentes de passer Noël ?
9806788#0	Quelle est la robe traditionnelle de la Bulgarie?
6432833#0	Quelle est la culture des Amish?
3378497#0	Quelle est la hauteur des chutes de Niagara?
276402#0	Quelles langues sont parlées au Congo?
6439278#0	Quelle est l'étymologie du mot syllabus?
14483739#0	Que signifie une ségrégation raciale?
13251875#0	Quelle est la musique traditionnelle du Maroc?
4874981#0	Qui était le premier sultan de l’Empire Ottomani?
4439112#0	Quel est le sport traditionnel d'Irlande?
11381528#0	De quoi consiste une cavalerie?
6059117#0	Quand a été fondée la maison d'édition Larousse?
4646778#0	Quels sont les quartiers de Vannes?
4378353#0	Qui est Jennifer Lopez?
4377126#0	Quels sont les peuples autochtones de l'Amérique du Sud?
1336449#0	Quelle reine était Cléopatra?
41343#0	Quelles sont les conséquences psychologiques d’un génocide?
4029101#0	Quel âge a Daniel Radcliffe?
6876444#0	Quelles sont les caractéristiques de la culture flamande?
8000850#0	Qui est le joueur de cricket le plus célèbre de tous les temps?
2830154#0	Quelle est la chanson la plus populaire de Sia?
6315219#0	Quel est le championnat de rugby le plus célèbre au monde?
14370145#0	Quel est le rôle d’un mécène?
7016984#0	Qui était Eva Braun?
6813734#0	Quelle est la présomption d’innocence?
1935013#0	Que signifie le titre marquis?
4401778#0	Quels sont les types d’avions les plus rapides au monde?
13906106#0	Quelle est la rue la plus célèbre de Milan?
14044923#0	Quand Jakarta est devenue la capitale de l'Indonésie?
12753673#0	Quelle langue est le sanskrit?
3968386#0	Qui est le dernier roi de France?
5062876#0	Qui est Shakira?
5192#0	Quels sont les acides les plus forts?
7116080#0	Quelle chanson a gagné l'Eurovision 2021?
10903545#0	Qui est l'architecte de l'Opéra de Sydney?
6663664#0	Quelle est l’autoroute la plus longue en France?
7461181#0	Qui est le partenaire de Lady Gaga?
8042816#0	Quelle est l’importance de Notre-Dame de Paris?
13391630#0	Où se trouve Capri?
7501799#0	Quels sont les tribus autochtones en Saskatchewan?
7193830#0	Quand a été construit le métro à Paris?
11059040#0	Qui est Kate Winslet?
285059#0	Quel est le championnat automobile le plus célèbre au monde?
4478124#0	Quelles sont les autoneiges utilisées dans l'armée?
14082611#0	Quelles sont les particularités de reggae?
5952400#0	Quel type de langue est l’hongroise?
11469240#0	Quelles étaient les causes de la guerre de Sept Ans?
766136#0	Qui est Jessica Biel?
3925866#0	Quels sont les monuments les plus célèbres de Rome?
2461521#0	Quels sont les moyens de communication?
66254#0	Quelle est la largeur de Philadelphie?
3017837#0	Qui est Novak Jokovich?
6368373#0	Pourquoi la ville de Corinth a été détruite?
220765#0	Quelle est la nourriture traditionnelle de Kiribati?
8022634#0	Quelles sont les causes d’un déclin démographique?
1307568#0	Qu’est-ce que c’est une hérésie?
1599778#0	Quel type de langue est le georgien?
1436387#0	Qui est le propriétaire de Nickelodeon?
9806677#0	Quand a été fondée l'Alliance militaire islamique?
7950745#0	Que signifie l’antisémitisme?
7080690#0	Quelles mesures sont utilisées pour mesurer le QI d'une personne?
997968#0	Quelles langues sont parlées en Tunisie?
9194085#0	Quelle est la cuisine marocaine?
56822#0	Comment s’appelle la personne dirigeante un navire?
14175600#0	Quel était le but de la colonisation?
2505748#0	Quelle est l’importance de la famille Rockefeller?
598206#0	Où se trouve la banque centrale européenne??
4653535#0	Combien de personnes dénombrait l'armée française pendant la Première Guerre mondiale?
13972068#0	Qui est Melinda Gates?
16608#0	Qui est le père de la logique?
1075077#0	Qui est le président de Nicaragua en 2022?
5938860#0	Quelles sont les pénalités pour commettre un genocide?
380702#0	Combien de cantons y a-t-il en France?
12198319#0	Combien de langues minoritaires y a-t-il au Canada en 2022?
138#0	Quel est le salaire d’un archéologue?
6256271#0	Comment s’appelle le désert en Arizona?
349578#0	Quels sont les anciens noms de l’Iran?
11111355#0	Quelle est la chanson la plus célèbre de Black Eyed Peas?
1655454#0	Quelle est la plus grande île du monde?
20328#0	Qui est Angela Merkel?
14204740#0	Quel est le sujet étudié par la science lexicologie?
1694400#0	Qui a inventé le jeu de cricket?
126152#0	Quels sont les droits d’un travailleur au Canada?
817238#0	Qui est le réalisateur de The Simpsons?
8700#0	Quelles sont les langues officielles à Singapour?
5749145#0	Qui est le joueur de football polonais le plus connu au monde?
13981571#0	Qui est le peintre le plus célèbre représentant la période du romantisme?
14417362#0	Quel est le symbole de la Thaïlande?
5765993#0	Quels sont les oblasts les plus peuplés en Ukraine?
223541#0	Quelle est la frontière entre l’Europe et l’Asie?
7847474#0	Qui est Coco Chanel?
12884299#0	Quelles sont les différences entre une nouvelle et un roman?
12340444#0	Quel est le stade le plus grand de France?
324417#0	Quel style de musique joue Bon Jovi?
4708880#0	Qu’est-ce que la sémantique étudie?
6357780#0	Qui est le premier roi belge?
50570#0	Combien de dialectes sont observés dans la langue française?
13532464#0	Que signifie le terme prolétariat?
386057#0	Qui est le premier empereur de la dynastie Paléologues?
11892796#0	Qu’est-ce qu’il s’est passé aux dinosaures pour disparaître de la planète?
9461805#0	Qui joue le rôle de Harry Potter dans les films Harry Potter?
9698354#0	Quand se passe le championnat du monde de rugby en 2020?
7583962#0	Quelles sont les langues officielles de Palau?
3586897#0	Quelle nationalité est Nelly Furtado?
595555#0	Quelles sont les raisons du changement climatique?
2867656#0	Qui est Marie Stuart?
4831257#0	Qui est Michael Phelps?
1929955#0	Quels sont les types de championnat de football au monde?
12824428#0	Quelle est l’importance de Charles Darwin?
10988192#0	Quelles sont les caractéristiques d’un jeu vidéo de genre science-fiction?
6349013#0	Quels états bordent le Missouri?
6523217#0	Quelle est l’importance de Lenin?
5304441#0	Quelle partie du Canada se trouve dans le cercle arctique?
7938052#0	Qui a inventé le tube à choc?
14203847#0	Quel est le sommet le plus haut de Swartberg?
11574268#0	Comment est organisé le système de transport en Allemagne?
12826703#0	Combien de personnes au monde parlent espagnol?
12264500#0	Combien d'équipes participent à la NBA?
3012195#0	Quelle est l’importance du règne de la reine Victoria?
1482986#0	Combien de joueurs participent à un équipe de hockey sur glace?
842614#0	Qui a fondé la compagnie NeXT?
779364#0	Que mangent les éléphants?
14100089#0	Quelles sont les organisations de défense des animaux en France?
10803030#0	Quels sont les sujets principaux de l'étude d'épidémiologie?
4036689#0	Quel pourcentage de la population française vit dans les villes?
13195041#0	Quel est le plus long tunnel en Amérique du Nord?
44776#0	Quel était le but de l’Agora en Grèce ancienne?
842625#0	Quelle est la division administrative de Suisse?
170329#0	Quels sont les acteurs du film Pulp Fiction?
5280623#0	Qu’est-ce que c’est la biologie moléculaire?
11882395#0	Comment sont créés les astéroïdes?
5387004#0	Qui est Jean-Paul Belmondo?
122330#0	Qui est Pierre Elliott Trudeau?
3084654#0	Qui est Carlos Chavez?
6399077#0	Combien de républiques y a-t-il en Russie?
3166304#0	Combien de cantons existent en Suisse?
6522308#0	Que fait un plombier?
5813776#0	Quel est le sport le plus joué en Europe?
3554994#0	Quel type de langue est le hongrois?
3062239#0	Comment les Nazis ont pris le pouvoir?
522045#0	Quand a été fondée la Bulgarie?
4998464#0	Quel est le drapeau de l’Allemagne?
98245#0	Quel est le canton le plus peuplé de Suisse?
14524438#0	Quel pays est le plus grand producteur de taro?
4881206#0	Quelles sont les particularités de la musique japonaise traditionnelle?
5994321#0	Quelles sont les conséquences de l’exploitation du charbon de terre?
1425279#0	Quelles sont les pièces de théâtre de Molière les plus connues?
13388857#0	Quelles sont les raisons de l'augmentation du stress chez les personnes âgées?
63571#0	Où se trouvent les Dardanelles?
11386695#0	Quelle est la religion principale en Géorgie?
1438446#0	Quel type de langue est wallon?
12262904#0	Quelles sont les caractéristiques de l’architecture médiévale?
100104#0	Quelle est la capitale du Nouveau-Brunswick?
7104582#0	Quel type de langue est la langue mongole?
1663317#0	Combien de communes y a-t-il en France?
644214#0	Quelle est la cuisine suisse?
9976992#0	Quelle est l’importance de FIFA dans la société de football?
14321587#0	Quelles sont les types d'énergie?
8112309#0	Quels sont les bienfaits pour le corps humain d’eau de noix de coco?
494611#0	Qui est le réalisateur du film The Godfather?
843563#0	Qu’est-ce que c’est le syndrome du savant?
68393#0	Quels sont les bienfaits de l’huile d’eucalyptus?
977580#0	Quelle est la religion principale d'Erythrée?
1701154#0	Quelles sont les caractéristiques du socialisme?
6738652#0	Combien de temps dure la Deuxième Guerre mondiale?
323696#0	Qui sont les membres du groupe Kiss?
9194472#0	Pourquoi les gens committent un inceste?
5460202#0	Quelle est la plus vieille église en France?
5331234#0	Combien de provinces y a-t-il en Espagne?
1033156#0	Quels sont les désavantages des cigarettes?
164793#0	Quelle est l'idéologie du taoïsme?
6447574#0	Que signifie le terme un prisonnier politique?
4252#0	Qui est Karl Marx?
11337421#0	Quelles sont les caractéristiques d’une synagogue?
6179229#0	Quelle est la théorie soutenue par Ptolémée?
10015491#0	Quel est le plan Marshall?
10092985#0	Combien de caractères y a-t-il en langue chinois?
2954152#0	Qui sont les Ottomans?
9110586#0	Quelle est l’importance des Jeux Olympiques?
2124714#0	Quelles sont les voyelles en langue basque?
170125#0	Quels sont les musées à Montréal?
8504969#0	Quels sont les principes du communisme russe?
13205244#0	Quelles sont les plus grandes fêtes à Barcelone?
6429622#0	Quelle est la topographie d’Irlande?
673262#0	Quand a été fondé le National Hockey League?
113759#0	Qui est la déesse supérieure dans la mythologie nordique?
10259756#0	Qui est l'architecte de l'église Saint-Gilles?
2992259#0	Qui a créé le Pokémon?
14574396#0	Comment a été créée la Croix-Rouge?
6509110#0	Qui est le recteur de l'université de Moscou en 2022?
8223285#0	Qui a fondé le Maroc?
52495#0	Qui sont les philosophes grecs de l'Antiquité les plus célèbres?
5809522#0	Comment cultiver des pommes de terre?
13528#0	Quelles sont les guerres de religion les plus importantes de l’histoire de France?
14402404#0	Quelle est l'étude de numismatique?
12378399#0	Comment se forme un volcan?
196933#0	Quelles sont les méthodes pour faire un sondage?
14130790#0	Quelle est la voiture la plus chère au monde?
5534610#0	Quels sont les groupes de pop français les plus célèbres?
11893200#0	Quelle est l’orbite de Mercure?
6948128#0	Qui étaient les bolcheviques?
4610245#0	Quelles sont les ethnicités en Russie?
12241801#0	Quelle est la durée de vie d’une batterie lithium-ion?
834740#0	Quels sont les types d’arts martiaux?
5524458#0	Quel type de science est la statistique?
1306096#0	Quels sont les types de protocoles Internet?
1755#0	Comment ont été construites les pyramides en Egypte?
9380079#0	Quand a été créée la Bibliothèque nationale de France?
1523451#0	Quelles langues parle-t-on en République de Touva?
7934028#0	Quelle est la fonction des récepteurs GABA?
6361913#0	Quelles sont les fonctionnalités de GNU screen?
314386#0	Quels sont les traits particuliers de la samba?
6459670#0	Quel type de langue était le ligurian?
7771908#0	Comment est né l'hindouisme?
5099103#0	Qui étaient les premiers utilisateurs des pots de pharmacie?
1333762#0	Quelle est l'idéologie communiste?
12387616#0	Comment se forment les amas globulaires?
660453#0	Quel est le statut du Parc National Banff?
11806175#0	Qui est la première dynastie régnant au Japon?
6293667#0	Quelle est la cuisine algérienne?
8401914#0	Que signifie l'abréviation OTAN?
11299515#0	Qui possède la Porsche?
3456912#0	Quelles sont les lois discutant les discours de haine en France?
353078#0	Quel est le système féodal?
681566#0	Qui a construit les trains à grande vitesse?
13725983#0	Quels sont les premières tribus en Irlande?
1753057#0	Quels sont les plus grands boxeurs québécois?
701829#0	Comment Alexandre le Grand a contribué à l’histoire du monde?
5677823#0	Quels sont les opéras de Bach les plus célèbres?
1271293#0	Quel est le requin le plus dangereux du monde?
649492#0	Quelles sont les règles de golf?
1255970#0	Qui a inventé le tableau périodique?
13663115#0	Qui est Chris Hemsworth?
408817#0	Quelles sont les caractéristiques principales de la Renaissance?
6055314#0	Comment s’appelle la cathédrale à Trèves?
792543#0	Quelle est la musique suédoise traditionnelle?
4007822#0	Que signifie le militantisme pacifique?
13343715#0	Que signifie une anthologie?
11880418#0	Quels sont les deux lunes de Mars?
748617#0	Quel pays possède le plus grand gisement de pétrole?
12359939#0	Quels sont les services offerts par The Walt Disney Company?
4836562#0	Qui est le joueur de tennis le plus connu au monde en 2021?
2677616#0	Quels sont les poèmes les plus célèbres de John Keats?
5502469#0	Quels sont les collines de Rome?
6104797#0	Comment acquérir une citoyenneté qatarienne?
7220447#0	Quel est le travail d’un avocat?
10625574#0	Qui possède la compagnie Lancôme?
1382717#0	Qui a inventé le robot?
12681616#0	Qu’est-ce que c’est l'océanographie physique?
5069140#0	Qui était le premier roi d’Espagne?
12598294#0	Quels sont les vêtements traditionnels algériens?
5174376#0	Qui est le founder de Tours?
3440367#0	Quelles sont les étapes de développement du cancer?
6023311#0	Quel est le but de l’organisation Alcooliques anonymes?
10319686#0	Quel est le classement international de l'université de Toronto?
10515145#0	Quel est le salaire d’une infirmière?
7345554#0	Quels sont les genres cinématographiques?
14386906#0	Qui a construit le satellite SOHO?
601462#0	Qu’est-ce qui est considéré comme du ski alpin?
80898#0	Qui a créé le Metafont?
1199276#0	Quelle est l’origine du nom de Los Angeles?
821799#0	Quelles sont les allergies les plus courantes?
12799#0	Quelle est l’origine du dialecte provençal?
11333962#0	Quel est le noyau de Mercure?
6517576#0	Quelle est la désert la plus grande au Mexique?
3834637#0	Quelle est la plus grande île dans les Grands Lacs?
3656078#0	Quelle est la guerre la plus destructive en Europe?
14585485#0	Comment sont régulées les unions à but non lucratives?
895989#0	Quels sont les pays bouddhistes?
7243822#0	Quelle est l’origine des Kurdes?
1287534#0	Quelles sont les régions administratives en Belgique?
13269842#0	Ou était créée la comédie comme un genre cinématographique?
586213#0	Quels étaient les buts d’un chevalier?
4179708#0	Quels sont les types de films documentaires?
262940#0	Quelle est l’origine des arts martiaux?
7328317#0	Quelles sont les particularités du style gothique?
10237476#0	Quelle est la différence entre les églises prthodoxe et catholique?
13323829#0	Qui est Louis-Ferdinand Céline?
11100005#0	Quelles sont les règles d’adoption aux États-Unis?
12967382#0	Quand a été établie la compagnie Air Canada?
10702326#0	Quels sont les objectifs d’Interpol?
14121465#0	Quelle est l'étymologie du terme laïc?
7860837#0	Combien de joueurs contient une équipe de rugby?
5447903#0	Quand a été créée la Nintendo?
6765628#0	Quelle est la religion dominante au Japon?
13458382#0	Qui est le secrétaire général des Nations unies en 2022?
68762#0	Quelles sont les raisons de la colonisation de l'Amérique?
11224564#0	Quels sont les avantages de la santé du sauna?
7736143#0	Quels sont les genres télévisuels?
3305109#0	Qui est le père de la chimie?
190739#0	Que signifie le terme un nombre positif?
1150641#0	Quels sont les seize Royaumes?
14067990#0	Qu’est-ce que c’est un libertin?
2784780#0	Quels sont les différents types de codage?
3758035#0	Quelle est l'idéologie des témoins de Jéhovah?
157653#0	Quelles règles sont appliquées sur les noms des éléments chimiques?
4277334#0	Qui sont les premiers habitants de Thaïlande?
6497616#0	Combien de pays comprend la région de la mer Baltique?
218500#0	Quelles sont les provinces en Thaïlande?
10435566#0	Quelles sont les caractéristiques principales du style gothique flamboyant?
9210473#0	Quelle est l'idéologie du djihadisme?
2900656#0	Qui est le président du Département de la Réunion?
13992564#0	Où se trouve la Banque centrale de l’Union européenne?
862758#0	Qui était Niccolo Paganini?
3596623#0	Quel type de langue est le géorgien?
1066622#0	Quelle est la plus grande course cycliste du monde?
3328581#0	A quelle famille langagière appartient la langue gaélique?
2895288#0	Quelle est la fonction de l'artillerie?
1161490#0	Quelle est la peine pour un enlèvement en France?
9588028#0	Quand a été construite la cathédrale de Barcelone?
11352325#0	Quelles tribus étaient les premiers habitants de Manitoba?
3547090#0	Quel est le territoire de la Slovénie?
6499602#0	Qui est Socrates?
14237147#0	Quels sont les plats traditionnels de Grèce?
487025#0	Quelles sont les caractéristiques d'ancien régime?
1854613#0	Comment déterminer la couleur des yeux?
389968#0	Comment se forment les roches métamorphiques?
68205#0	Quels sont les pharaons égyptiens les plus éminents?
11208371#0	Quelles sont les caractéristiques du stress post-traumatique?
4493808#0	Comment a été créée la bande dessinée?
3663098#0	Quels sont les types de logiciels?
4920687#0	Quels sont les traits principaux d’un martyr?
6521586#0	Quelle est la capitale de la Guadeloupe?
2536362#0	Quels sont les noms précédents de l’Iran?
9637458#0	Qui est Spinoza?
3089718#0	Quels sont les types de nage?
11880882#0	Quelles sont les classes d'astéroïdes?
9142098#0	Comment préparer un bon aquarium?
11423122#0	Quels pays ont signé le Protocole de Kyoto?
12861639#0	Quelles sont les causes de cécité?
13769309#0	Qui a créé le Danemark?
1015395#0	Quelles sont les différences entre le français québécois et le français de France?
3586505#0	Quelles sont les règles de poker?
3317706#0	Comment se forment les patronymes en France?
267633#0	Quel est le rôle des artérioles?
7428260#0	Quel type de langue est le finnois?
4050542#0	Qui a créé la plateforme Spotify?
4912805#0	Quels sont les avantages d’art martial taekwondo?
14666268#0	Qui est le président des Nations Unies en 2022?
8342740#0	Qui est le fondateur de la Rus de Kiev?
13054961#0	Quelles sont les caractéristiques principales de l'économie japonaise?
4948542#0	Quelles sont les castes en Inde?
10670673#0	Comment jouer à la flûte?
12007931#0	Qu’est-ce que signifie le terme catalyseur?
12494244#0	Quand a été établi le Monténégro comme un pays souverain?
2879798#0	Qui a écrit la chanson Imagine?
9249392#0	Quelles langues sont utilisées au Maroc?
5687474#0	Quelles sont les caractéristiques principales d'éducation en Angleterre?
14425466#0	Comment utiliser la phytothérapie?
491731#0	Quelles sont les maladies des muscles dans le corps humain?
8117295#0	Qui est le propriétaire de COSTCO?
2769096#0	Comment s’appelle le premier album de Drake?
3177446#0	Quels sont les acteurs dans la série télévisée Doctor Who?
2774642#0	Quels sont les animaux mammifères?
11881229#0	Combien de satellites sont dans l’espace maintenant?
10192282#0	Comment a été inventée la bombe nucléaire?
13654808#0	Quels sont les quartiers de Berlin les plus prestigieux?
7815#0	Quels sont les plus vieux systèmes d'écriture ?
8363516#0	Qui étaient les Bourbons?
3871180#0	Quels sont les thèmes principaux examinés par l'anthropologie?
4564660#0	Quelles étaient les raisons importantes du Printemps de Prague?
11893509#0	Qui est le gouverneur d’Arizona?
6145472#0	Qui est l’inventeur de l'accordéon?
384779#0	Quels sports sont inclus dans les Jeux Olympique d'été?
301889#0	Quand a été fondée la compagnie Nintendo?
9021705#0	Quelle est l’origine de l’astronomie?
10441997#0	Quels sont les temples bouddhistes les plus visités?
7079811#0	Qui est Michael Schumacher?
3668521#0	Quelles étaient les croyances religieuses dans le Sultanat de Delhi?
14212562#0	Quelles sont les raisons d'un incendie?
14369496#0	Que fait un numismate?
162090#0	Combien de lignes y a-t-il de Transilien?
5518290#0	Quel type de langue est le quechua?
7935189#0	Quelle est la musique alsacienne traditionnelle?
10485902#0	Quel est le poème le plus connu de Lermontov?
11770778#0	Quelle est la signification de François Mitterrand dans la politique de France?
103770#0	Quelle est l'idéologie communiste?
8836427#0	Quelles sont les raisons de subir une mutation génétique?
3955376#0	Quel est le statut politique de Macao?
4074678#0	Quel type de fromage est le plus cher au monde?
3929592#0	Quelle licence est nécessaire pour obtenir un revolver au Canada?
1946484#0	Quelle est la philosophie de Kant?
9968036#0	Quels sont les postes dans le football américain?
10917915#0	Qui est Michael Jordan?
3321195#0	Comment créer un site web?
1065229#0	Quelles sont les raisons de la monosomie?
3451191#0	Qui est Tony Curtis?
11220599#0	Quels pays bordent la Russie?
9863790#0	Quel est le statut de la langue française en Syrie?
11753110#0	Qui est le président de l’Organisation mondiale de la santé en 2022?
1220476#0	Quelle formation est nécessaire pour devenir un journaliste?
6026159#0	Quel type de langue est le finnois?
14477311#0	Quels sont les meilleurs studios cinématographiques aux États-Unis?
11881843#0	Quelle est la composition d’un astéroïde?
11630603#0	Quelles sont les caractéristiques de la poésie médiévale?
9413986#0	Quel est le meilleur sol pour cultiver le maïs?
3925068#0	Quelle langue parle-t-on en Éthiopie?
9859489#0	Qui est Joanne Rowling?
195598#0	Où est située l’Agence spatiale européenne?
3569924#0	Quel mouvement est le piétisme?
10628923#0	Combien d’enfants a Arnold Schwarzenegger?
1573728#0	Quelle langue parle-t-on en Valais?
2485273#0	Quels sont les bienfaits du coing pour la santé?
5027421#0	Quelles langues sont utilisées en Inde?
14654032#0	Quand a été établi Copenhague comme ville?
11383010#0	Quel est le territoire du Texas?
9744923#0	Qui sont les réalisateurs de Bollywood les plus célèbres?
11879945#0	Quelle est la plus grande galaxie existante?
5840494#0	Quelle est la différence entre les alligators et les crocodiles?
10111534#0	Où se trouve Anguilla?
13703#0	Qui est Ivan Pavlov?
10542646#0	Quelle est l’importance de Whitney Houston dans la culture musicale du monde?
6341689#0	Qui est Peter Parker?
3893563#0	Quelle est l’origine du jeu de ping-pong?
9963705#0	Quelles religions sont pratiquées en Chine aujourd’hui?
13447524#0	Comment devenir un samouraï?
9782043#0	Quelle est la musique traditionnelle d'Israël?
6940830#0	Quelles langues sont parlées en Ouganda?
14179835#0	Quand a été créée la PlayStation?
633493#0	Quelles sont les prophéties les plus importantes de Nostradamus?
10018588#0	Qui est le recteur de l'université catholique de Louvain aujourd’hui?
13569945#0	Quand a été créé le premier automobile Dodge?
9381131#0	Quelles étaient les raisons de la création de la console XBox?
8254267#0	Quelles sont les conséquences de la Première Guerre mondiale pour la Bulgarie?
913349#0	Ou a été inventé le hockey sur glace?
5390627#0	Qui a inventé le site Youtube?
14076412#0	Comment s’est formé l'anglicanisme?
934918#0	Quelles sont les races de chevaux les plus rares?
508971#0	Quel type de diptères sont les papillons?
4861129#0	Quels étaient les treize premiers états des États-Unis?
4887869#0	Quel est le regroupement ethnique de San Francisco?
5536114#0	Qu’est-ce que c’est la période de Reconquista?
1194836#0	Quelles sont les règles de scrabble?
374703#0	Combien d'îles formant le Bahreïn?
6605067#0	Quels sont les points principaux du judaïsme?
12728234#0	Quelles sont les régions de la Terre moins habitées?
5363058#0	Quelle est la culture traditionnelle de la Nouvelle-Calédonie?
6745005#0	Quels types de langues sont les langues autochtones?
1701423#0	Qui est Pierre Parlebas?
10911864#0	Quelle est la comédie musicale de Broadway la plus populaire de tous les temps?
771798#0	Quelle est la signification de l'expression d'être Judas?
7010775#0	Quels sont les avantages de l'éducation familiale?
1364997#0	Quel est le goût du vin rouge?
332845#0	Comment se forme une armée?
4041681#0	Quel est l'état de l'économie mondiale avant la Première Guerre mondiale?
5663441#0	Quels sont les différents types de logiciels?
1162068#0	D'où sont venues les tribus Gaulois?
608348#0	Quand a été inventée l'antenne de télévision?
11501651#0	Quels sont les différents types de cyclisme?
223311#0	Quelle est la religion des Celtes?
6451994#0	Comment s’appellent les personnes dans le jury du prix de Flore?
5972375#0	Quel était le plus grand camp de concentration?
4593226#0	Quel est le but des américains à propos du conflit concernant la frontière de l’Oregon?
106063#0	De quoi est constitué le biathlon?
4378934#0	Quelle est la première station spatiale?
5668328#0	Quelle entreprise George Soros possède-t-il?
3012280#0	Quelles sont les familles aristocratiques de Belgique?
12639#0	Quel est le territoire de la Caroline du Sud?
1505177#0	Quel type de langue est la langue arabique?
2013375#0	Quels artistes sont présentés par Playground Music Scandinavia AB?
10368877#0	Que signifie la ségrégation?
290860#0	Quand a été fondée la compagnie Adobe Systems?
6719223#0	Combien de préfectures y a-t-il au Japon?
7974898#0	Quand a été écrit le roman Tess d'ubervilles?
44701#0	Quelles sont les croyances des hindouistes?
6207210#0	Qui est le pilote automobile français le plus célèbre de tous les temps?
11993615#0	Quels sont les effets négatifs sur la santé causés par le fait d'être un astronaute?
3132511#0	Où est l’islam la religion dominante?
9913368#0	Quelles étaient les raisons de la guerre de Succession d’Autriche?
13383526#0	Quelle est la religion dominante au Soudan?
13495973#0	Quelles sont les batailles les plus importantes pendant la Première Guerre mondiale?
20947#0	Quelle est la compétition cycliste d’Italie la plus prestigieuse?
13964371#0	Combien de personnes au monde pratiquent le catholicisme?
6617270#0	Que signifie le symbole de l'obélisque?
3429883#0	Qu’est-ce que c’est une nébuleuse?
3048699#0	Quelles langues sont parlées en Côte d’Ivoire?
12178941#0	Quel était le territoire de l’Empire mongol?
14510286#0	Quelle est la loi japonaise envers le trafic d'êtres humains?
97387#0	Quand a été créée la Bibliothèque nationale de France?
9962495#0	Combien de sports sont inclus dans les Jeux Olympiques?
12496244#0	Quel est le territoire de l'île de Tasmanie?
4300476#0	Où se trouve la ville de Metz?
99416#0	Quelles sont les spécificités d’un avion d’attaque?
7604338#0	Quel est le langage de programmation le plus difficile?
5593441#0	Quelles sont les lois traitant les réserves écologiques en France?
12277895#0	Quelles sont les plages de Floride les plus connues?
5658767#0	Combien de cas y a-t-il dans la langue latine?
9390314#0	Quelles sont les stations de radio les plus écoutées en Suisse?
9586912#0	Comment s’appellent les provinces en Espagne?
4380243#0	Qui était le premier président de Yougoslavie?
1396458#0	Quelle est la fonction de l’hypophyse?
5260594#0	Quel est le drapeau de la Moldavie?
5799571#0	Comment devenir un notaire au Québec?
1016364#0	Comment a été construit l’empire Hilton?
718631#0	Quelle est la plus vieille université en Angleterre?
4495379#0	Quelles langues sont parlées au Sénégal?
1052927#0	Quelles sont les causes de l’acromégalie?
9142572#0	Quelle est la plus vieille école à Téhéran?
5315228#0	Quels sont les types de protéines?
12564674#0	Quelle est la penalité d’une meurtre au Canada?
1271385#0	Quel est le rôle d’un journaliste sportif?
1359338#0	Que fait un bassiste?
14381037#0	Quels sont les titres irlandaise les plus importants?
14513011#0	Quand a été créé le premier appareil photographique?
12615424#0	Quand a été fondé le tramway de Québec?
5664023#0	Quel était le rôle de Constantinople de la religion chrétienne?
1923765#0	Quels sont les registres d’une langue?
391731#0	Qu’est-ce que c’est une charge électrique formelle?
56407#0	Quelles sont les régions de climat au Canada?
11881746#0	Quelle est la surface de Vénus?
14103861#0	Quelles sont les droits principaux de l’homme?
352791#0	Quel est l’impact culturel de Madonna sur la musique du XXème et XXIème siècle?
1523897#0	Quel est le territoire des îles Baléares?
12283636#0	Quels sont les animaux féroces?
1057583#0	Quelles sont les caractéristiques du règne de Dioclétien?
4960178#0	Qui était Io dans la mythologie grecque?
4666901#0	Pourquoi la France a-t-elle vendu la Louisiane?
7458078#0	Quel est le climat du Tibet?
7900035#0	Quelle est l’importance du Bosphore?
4050631#0	Quand a été fondé le pays Vénézuela?
11891400#0	Quel est l’observatoire le plus célèbre au Japon?
239059#0	Qui est Yannick Noah?
10999454#0	Que fait un gigolo?
3008903#0	Quelles sont les spécificités du matériel abrasif?
169126#0	Comment cultiver une plante hibiscus?
2883063#0	Quelle est l’origine de style musical metal?
12939601#0	Quels étaient les branches de l’armée russe pendant la Seconde Guerre mondiale?
54441#0	Quelles sont les caractéristiques de la linguistique structurale?
404539#0	Quelles étaient les contributions sociales en France du roi Charles V?
