5455987#0	月球到地球的距离是多少？
3534122#0	加拿大魁北克属于哪一纬度？
1515295#0	立陶宛实行什么政治制度？
453241#0	明太祖哪一年登基？
636932#0	卢旺达的官方语言是哪一种？
7725173#0	清华大学哪一年建校？
3462876#0	周幽王有哪些典故？
7561341#0	古巴最高的山脉是哪一座？
3358386#0	韩国哪一年建国？
157091#0	第一次布尔战争开始时间是哪一年？
4046648#0	云南一二一运动哪一年发生的？
3259153#0	古希腊有哪些知名的哲学家？
6431860#0	《魔法少女小圆》哪一年上映？
277616#0	世贸中心最高的大厦多高？
1290957#0	牛樟芝有哪些特征？
59071#0	台大医院院长是谁？
448303#0	体型最大的海洋生物是什么？
1893323#0	东汉哪一年结束？
630793#0	S.H.E组合有哪些成员？
266511#0	望厦条约哪一年签订？
1213708#0	中国科学院有哪些研究所？
1818068#0	猪肝有哪些功效？
691741#0	百老汇出过哪些名人？
2889780#0	C语言有哪些特征？
4970217#0	宝冢歌剧团哪一年成立？
1294577#0	朝鲜劳动党中央军事委员会会长是谁？
1368116#0	臭虫在哪里分布？
3152777#0	2012年澳洲羽毛球公开赛奖金多少？
6154006#0	中国有哪些经典的煮肉方法？
6141342#0	南京地铁有多少站点？
7167050#0	云南省最高海拔的山脉是哪一座？
5494481#0	山东省曲阜有哪些名人？
7771102#0	2020年奥运会乒乓球赛冠军是谁？
6142078#0	法国第一任共产党领导人是谁？
1236833#0	墨西哥的国花是什么？
6806361#0	静电的产生原理是什么？
4200314#0	法国有哪些神父？
686666#0	香港有哪些演艺学校？
2948375#0	南斯拉夫有哪些信仰？
5970618#0	美国有哪些驻中国的大使馆？
1722092#0	非洲最大的河流在哪里？
4323078#0	日本朝日电视台哪一年成立？
5155987#0	360公司有哪些主营业务？
212795#0	中国有哪些关于占星术的典籍？
1000222#0	广西省有哪些铁路经过？
79322#0	法兰西波旁王朝复辟前的最后一位国王是谁？
1335276#0	埃及有多少法老？
1207769#0	有哪些常见的心理疾病？
1027758#0	泰国最长的河流是那一条？
960550#0	意大利有哪些美食？
482304#0	雪梨有哪些功效？
693#0	鲁迅有哪些代表作品？
5179079#0	悉尼属于哪一气候类型？
5359679#0	月球密度多大？
6055#0	休斯顿面积多大？
4854247#0	肯尼亚的总统是谁？
50719#0	中国人民政治协商会议第一届全体会议在哪里举办？
3840881#0	大西洋面积多大？
3066153#0	南京市有哪些历史建筑？
7865343#0	加州大学有哪些分校？
1781589#0	泰国国土面积多大？
4793488#0	中国科学院院长是谁？
492092#0	乌克兰有多少民族？
5065285#0	台湾最好的大学是哪一所？
5020504#0	郭沫若有哪些知名作品？
6418155#0	戚继光有哪些典故？
3205273#0	浙江省杭州市面积多大？
102614#0	美国人口最少的州是哪里？
6430295#0	防火墙有哪些作用？
2942176#0	塞族共和国2011年人口多少？
7473787#0	伊斯兰教有哪些关于银行的规定？
5468880#0	清华大学哪一年建校？
1479602#0	马六甲海峡有哪些区位优势？
6560229#0	伊朗有哪些宗教信仰？
71354#0	粤菜有哪些经典菜品？
7515130#0	《朝花夕拾》的作者是谁？
3172224#0	以色列国旗有哪些颜色？
7452644#0	美国司法部有哪些职能？
6210260#0	中国古代肖像画有什么特点？
3955109#0	国际汽车联盟总部在哪里？
42780#0	慈禧太后哪一年逝世？
3200576#0	台湾犯罪史上第二件随机杀人事件哪一年发生？
1178223#0	日本最南端的车站是哪个？
1521931#0	电影《不能说的秘密》导演是谁？
132785#0	原核生物有哪些特征？
4492030#0	韩国有哪些影视大奖？
3505481#0	埃及有哪些神话传说？
1172542#0	日本有哪些游戏公司？
155789#0	中文有哪些语调？
7297137#0	春秋战国时期有哪些学派？
2756483#0	拉脱维亚最大湖泊是哪一个？
1308382#0	明朝一共有几任皇帝？
286394#0	美国有多少海外领地？
916950#0	中国有哪些演员奖项？
984244#0	缅甸的气候有哪些特征？
7049630#0	北京市有哪些国企？
984058#0	成龙获得过哪些国际大奖？
1404347#0	中国有哪些陶瓷制品？
1589345#0	福建省福州市面积多大？
1904482#0	西班牙最大的足球场在哪里？
40399#0	中国南方航空有多少架飞机？
7076831#0	日本漫画《名侦探柯南》作者是谁？
3130290#0	京沪铁路多长？
655633#0	北京最大的清真寺面积多大？
5394985#0	第一个观测月球的天文学家是谁？
186767#0	黑龙江省省长是谁？
2904864#0	北京天坛面积多大？
5200275#0	RNA有哪些组成部分？
7570467#0	进化论的提出者是谁？
987688#0	非洲大陆有哪些热带植物？
3388753#0	维吾尔族在哪个省份分布最广？
739697#0	中国哪位导演获得过奥斯卡金像奖？
4205127#0	秘鲁属于哪一时区？
41172#0	中国有哪些地理专家？
5072514#0	王晶导演过哪些电影？
524151#0	云南省的简称是什么？
5664972#0	中国最古老的清真寺在哪里？
3513749#0	法国的国花是什么？
3353236#0	元朝经历了多少时间？
3373315#0	韩国组合H.O.T有哪些成员？
1246702#0	中国有多少语言体系？
5063962#0	中国最大的温泉是哪里？
4667784#0	北极地区平均气温多少？
6919687#0	苏格兰有哪些足球联赛？
3297086#0	河南省副省长是谁？
7010880#0	中欧班列哪一年开行？
19350#0	刘邦哪一年逝世？
5785336#0	人体有多少个细胞组成？
5671523#0	计算机有哪些硬盘设备？
6181408#0	卡普空旗下有哪些作品？
545699#0	广东省排名最高的大学是？
6516939#0	小米的创始人是谁？
4656459#0	张惠妹销量最高的专辑是哪一个？
145558#0	美国中央情报局局长是谁？
6636694#0	罗马天主教最大的教堂在哪一国家哪一城市？
5512385#0	欧盟组织最初有多少成员国？
4532528#0	端午节是哪一天？
3524488#0	光学显微镜有哪些作用？
4966633#0	底特律老虎队哪一年成立？
3407600#0	地震有哪些预测方法？
1301132#0	中国第一部动画哪一年制作？
1718667#0	戴佩妮哪一年出道？
1393617#0	加蓬位于哪一大洲？
266767#0	亚洲电视哪一年成立？
373747#0	台湾最大的机场面积多大？
993894#0	菊花有几种颜色？
48184#0	中国有哪些围棋冠军？
456435#0	日本北海道有哪些地标建筑？
4123730#0	西藏地区有哪些农作物？
6622368#0	鸦片战争哪一年爆发？
931976#0	韩国有哪些机器人公司？
4489218#0	希腊的官方语言是什么？
1545080#0	詹天佑有哪些贡献？
4537653#0	印度有几家航空公司？
938396#0	东南亚人口最多的国家是哪个？
1933821#0	国共内战经历了多少年？
5486662#0	中国北京有多少个天文观测点？
6291772#0	莉莉·艾伦哪一年出生？
263850#0	英国有哪些车企？
226272#0	西晋哪一年灭国？
5465482#0	上海自贸区哪一年成立？
90702#0	《精灵宝钻》哪一年出版？
6941007#0	台北市市长是谁？
1579729#0	清朝有哪些小说家？
1855931#0	中国姓氏人数前三名是哪些？
293853#0	日本围棋有哪些选手？
4734570#0	日本第一条铁路是谁建造？
11547#0	俄国浪漫主义有哪些代表人物？
1148462#0	巴基斯坦首都是哪里？
3893527#0	美国常春藤大学有多少所？
7775120#0	晋朝哪一年灭亡？
1049384#0	通用公司的创始人是谁？
1724613#0	中国有哪些汽车品牌？
7104050#0	苏格兰有哪些宗教信仰？
6108030#0	莱昂纳多迪卡普里奥的女友有哪些？
6796152#0	国际民用航空组织总部在哪里？
7295402#0	明朝开国皇帝是谁？
7109138#0	香港首府在哪里？
7303411#0	太阳距地球的距离是多少？
1703335#0	《水浒传》的作者是谁？
2813969#0	北京的行政区划代码是多少？
367358#0	清朝最后一任皇帝是谁？
5277965#0	老鼠的繁殖速度有多快？
711169#0	世界著名的华人建筑师有谁？
723476#0	世界上第一架飞机诞生于哪一年？
277160#0	动漫EVA的主人公叫什么？
3035776#0	观音菩萨的原名叫什么？
1504171#0	洪都拉斯的首都是什么？
699998#0	台湾有哪些方言？
7188496#0	土耳其国旗有几种颜色？
5377198#0	德国著名数学家有哪些？
86925#0	波音公司的主要竞争对手是哪些？
646921#0	人体臀部有哪些肌肉？
80562#0	使用粤语的人数有多少？
1479955#0	耶稣受难日是哪一天？
2894665#0	湖北省省会是哪里？
7835444#0	澳门有哪些产业？
1919683#0	云南省境内流经哪些河流？
147649#0	蒋经国的父亲是谁？
410850#0	日本政府的组成方式是什么？
5642718#0	蝴蝶效应是什么？
7032386#0	苏州评弹有哪些景点曲目？
925106#0	日本现任天皇名字是什么？
1545454#0	维吾尔族的特色美食是什么？
274044#0	白俄罗斯的民族有哪些？
760687#0	瑞典首都是哪里？
340533#0	长沙市位于哪个省？
4722311#0	国际货币基金组织总部在哪里？
2989685#0	诺基亚是哪一国的公司？
5051530#0	哈雷彗星的周期是多少年？
5185050#0	斯洛伐克首都是哪里？
1609762#0	香港有几个行政区？
798259#0	美国第30任总统是谁？
7156017#0	上海有哪些985大学？
7858766#0	罗马是哪一国首都？
1508219#0	现任牛津大学的校长是谁？
1580318#0	英国有哪些世界知名大学？
7832070#0	欧洲有哪些国家？
755934#0	现任上海理工大学校长是谁？
202842#0	现任墨西哥总统是谁？
8073#0	牛顿哪一年出生？
410145#0	广东省副省长是谁？
812662#0	四川人民出版社哪一年成立？
6472618#0	日本2020年在任首相是谁？
7623925#0	钢铁侠哪一年创作？
31091#0	唐朝有哪些使徒？
6591387#0	英法百年战争哪一年结束？
7215028#0	上海市长宁区面积多大？
152331#0	中国战国时期有哪些学派？
3953430#0	南极洲大陆面积多大？
7867360#0	爱沙尼亚有哪些名人？
1821667#0	上海地区有哪些佛寺？
5184907#0	乌克兰哪一年建国？
4710645#0	中粮集团董事长是谁？
159506#0	《新华字典》哪一年出版？
4566600#0	香港歌手黎明哪一年出道？
6709555#0	冰有哪些特性？
7060776#0	葡萄牙和中国哪一年建交？
7597837#0	世界有哪些联邦制国家？
4658977#0	羽生结弦有哪些成就？
7352389#0	苏联共产党哪一年成立？
1535330#0	甲申之变哪一年结束？
511780#0	佛教是谁传入中国的?
840240#0	中国新民主主义时期哪一年开始？
88812#0	苏维埃第一步宪法哪一年颁布？
3183425#0	非洲最大的湖位于哪里？
7873234#0	世界上有多少国家官方语言是葡萄牙语？
390698#0	法国里昂工人起义哪一年爆发？
727691#0	中国电信公司哪一年成立？
1568899#0	海港大楼多高？
7786530#0	中国最大的造船商是哪家？
802870#0	北京2008年奥运会中国队共获多少枚金牌？
1110721#0	澳门有多少码头？
3498574#0	韩国的女子组合SISTAR有多少成员？
7696#0	儒学的创始人是谁？
3757684#0	美国歌手麦莉·希拉出过多少张专辑？
2796087#0	河南省现任省委书记是谁？
2875342#0	厦门有哪些港口？
49155#0	计算机科学有哪些分类？
7046800#0	中国有多少海岛？
5390#0	十月革命的结局是什么？
6794312#0	苯二甲酰氯有哪些功能？
7056411#0	漫威漫画作品的作者是谁？
755599#0	斗鱼软件是属于哪一公司？
437154#0	美国威斯康辛州有多少县？
3983260#0	美国有哪些篮球明星？
1568511#0	美国有哪些嘻哈歌手？
7095309#0	深圳地铁有多少线路？
7382268#0	台湾有多少民族？
1195#0	红细胞有哪些功能？
3439977#0	金朝哪一年创立？
950581#0	南斯拉夫内战波士尼亚战争哪一年爆发？
3437759#0	福建省面积多大？
7813105#0	印度平均气温多少？
855039#0	意大利有哪些城市？
7409608#0	中国有哪些小说网站？
1636151#0	主动脉有哪些功能？
3198878#0	现任巴基斯坦总统是谁？
7612176#0	BIG Naughty所属哪一公司？
1168997#0	欧洲理事会总部在哪里？
1115385#0	加拿大中文电台哪一年成立？
6168912#0	罗马气候有哪些特征？
1368709#0	刚果民主共和国首都在哪里？
334679#0	胃酸有哪些功能？
3127#0	菲律宾的国旗有几种颜色？
4764692#0	瑞士的首都是哪里？
493557#0	CLAMP创作了哪些漫画？
131613#0	希特勒哪一年去世？
648975#0	角龙科恐龙有哪些种类？
6725857#0	台湾2020年男女比例多少？
25889#0	白居易有哪些代表作？
6223512#0	德意志帝国哪一年建国？
6866393#0	伊拉克现任总统是谁？
704170#0	醇类化合物有哪些特征？
6119256#0	现任美国电影制片人与发行人协会主席是谁？
1410458#0	New World Computing制作组创始人是谁？
1473672#0	台南市面积多大？
1040986#0	加拿大有多少省？
7229206#0	越南首都在哪里？
6715767#0	马来西亚最高的大楼在哪里？
1016652#0	《仙剑奇侠传》电视剧导演是谁？
7699851#0	瑞典的国歌是什么？
690347#0	意大利有哪些知名电影导演？
3352326#0	最终幻想的开发公司是哪一家？
6820217#0	鲨鱼有多少种类？
6997960#0	德国面积最大的湖泊是哪里？
5723519#0	魏晋南北朝有哪些诗人？
26515#0	环境容量有哪些作用？
3462703#0	数据库有哪些功能？
4447300#0	唐朝施行什么政治制度？
1213871#0	埃及国歌是什么？
5939824#0	佛教有哪些派系？
151160#0	几何学有哪些专家？
5023220#0	重庆大学哪一年建校？
1052597#0	国立清华大学第一任校长是谁？
3520263#0	江户幕府的建立者是谁？
1053092#0	荷兰的国花是什么？
1296913#0	托尔金有哪些作品？
1800898#0	道教上清派信奉哪些神？
2304#0	中国最大的博物馆在哪里？
1931999#0	文殊菩萨道场在哪里？
69280#0	台湾2010年男女比例多少？
5197242#0	平安时代什么时间结束？
5500026#0	纽约有多少地铁站？
5068863#0	微软有哪些操作系统？
766485#0	日本鎌仓时代什么时间结束？
5601017#0	计算机科学有哪些分类？
547035#0	台湾有哪些财经类大学？
7317256#0	谬误有哪些分类？
506810#0	侏罗纪什么时间结束？
5526113#0	台南有多少所中学？
1233345#0	斯特拉斯堡面积多大？
6479998#0	台湾电视公司哪一年创办？
242455#0	文竹有哪些功效？
6026034#0	科特迪瓦有多少省份？
7475003#0	华纳兄弟影片的创始人是谁？
1206980#0	美国南北战争时期的总统是谁？
6340347#0	美洲地区有多少国家？
1447878#0	逻辑卷轴管理器有哪些功能？
944105#0	世界排名最高的商学院在哪里？
1274783#0	电影《金刚》哪一年上映？
903032#0	九寨沟面积多大？
1168014#0	中国有哪些民航公司？
1185072#0	葡萄牙的国旗有哪些颜色？
746305#0	碳氢化合物有哪些特征？
137025#0	香港教育局局长是谁？
338496#0	南宋最后一任皇帝是谁？
4557273#0	纬来电视网制作过哪些电视剧？
5189775#0	1995年美国在任总统是谁？
3595379#0	西门子公司的创始人是谁？
844055#0	参数有哪些类型？
5721594#0	日本有哪些动画制作公司？
750254#0	立陶宛现任总理是谁？
1205173#0	中国最大的连锁书店是哪一家？
217561#0	德川幕府的建立者是谁？
3425282#0	日环食发生的原理是什么？
4482173#0	《乌龙院》总销量多少？
3504463#0	伊朗现任总统是谁？
439039#0	美国的国歌是什么？
587631#0	食虫植物有哪些特征？
35080#0	英国有哪些殖民地？
2932194#0	希腊神话有哪些神？
19681#0	蒙古语有多少使用者？
5919395#0	中国有多少机场？
5788022#0	核裂变有哪些反应？
7145237#0	月球距离地球多远？
7046864#0	欧洲大陆有哪些国家？
3131513#0	地球自转速度多少？
7451289#0	罗马帝国哪一年建国？
6461180#0	第三届超级碗哪一年举办？
1336515#0	中国有哪些围棋大赛冠军？
924819#0	英国剑桥大学有多少学院？
1390032#0	菲律宾现任总统是谁？
6668149#0	DC漫画有哪些超级英雄？
7855635#0	梁实秋哪一年出生？
26009#0	葛优获得过哪些大奖？
6097442#0	中国最高的山脉在哪里？
6754521#0	西班牙有哪些大学？
6592459#0	韩国女子组合少女时代有多少成员？
942307#0	美国有多少犹太教徒？
7063442#0	中国高考哪一年恢复？
743006#0	中国教育部哪一年成立？
6365291#0	孟加拉国平均海拔多少？
614854#0	太平洋战争哪一年开始？
513476#0	港铁东涌线有多长？
758243#0	美国的国庆日是什么时候？
1265975#0	朝鲜哪一年建国？
3890943#0	乌克兰有哪些宗教？
1491919#0	《阿凡达》导演是谁？
2975228#0	哪些比赛项目有团体赛？
5057965#0	国共内战发生在哪一年？
3679906#0	热带气旋的形成原因是什么？
514240#0	有哪些数据库管理软件？
7382495#0	全球最畅销的书籍是什么？
3546971#0	巴黎和会是哪一年签订的？
3348032#0	西北大学现任校长是谁？
306241#0	十三届全国人大五次会议是何时召开的？
802098#0	戏剧《威尼斯商人》的作者是谁？
5900120#0	控制变量法是什么？
164824#0	橡胶产量最大的国家是哪一个？
3987779#0	台湾最大的城市是什么？
6539215#0	第一次世界大战哪一年结束？
5773168#0	匈牙利有哪些著名艺术家？
7616139#0	巴勒斯坦的首都是什么？
1886404#0	中国最高的行政单位是什么？
5243317#0	斯德哥尔摩综合征是什么？
1118153#0	乔治亚理工学院有哪些优势专业？
7885150#0	世界反法西斯同盟正式形成的标志是什么？
1009801#0	香港人口数量是多少？
319580#0	阿富汗首都是哪里？
154228#0	苏联共产党的创始人是谁？
7561461#0	爱沙尼亚首都是哪里？
7057801#0	波兰是何时建国的？
1199668#0	西班牙的首都是哪里？
1202556#0	成年人有多少块骨头？
363413#0	“机关算尽太聪明”下一句是什么?
5682595#0	《红楼梦》的作者是谁？
6778065#0	行星和恒星的区别是什么？
3933460#0	苏联国歌名是什么？
4551885#0	2008年北京奥运会获得金牌数最多的国家是哪个？
5415549#0	自由女神像坐落于哪座城市？
5223830#0	成年东北虎的体重大概是多少？
1093906#0	嘉靖皇帝的原名是什么？
415033#0	客家人主要分布在哪些地区？
718747#0	《物种起源》的作者是谁
2955005#0	哈利波特的父亲叫什么？
678280#0	《走向共和》的导演是谁？
6890272#0	加勒比海盗的男主角是谁？
6848799#0	“红豆生南国”的下一句是什么？
982085#0	世界上最大的热带雨林是什么？
5447507#0	美国的立法机关是什么？
4815951#0	蛋白质含有哪些化学元素？
3461780#0	2012年夏季奥运会在哪里举办？
6593430#0	泊松分布是什么？
7211354#0	孙中山哪一年去世的？
1588272#0	催化酶有哪些特征？
5719933#0	2020年中国高考时间是什么时候？
1598827#0	双鱼座的面积多大？
5397933#0	重庆市有多少银行？
449855#0	流体力学有哪些分支？
420199#0	香港岛面积多大？
7105485#0	中国足球协会总部在哪里？
662876#0	香港有多少区？
4045103#0	编程语言有哪些分类？
6476133#0	结构变异有哪些特征？
3915989#0	南极洲海岸线多长？
6989858#0	中国人民解放军有哪些部门？
3468301#0	中国现行宪法有多少条？
180807#0	中国有多少佛教教徒？
1091571#0	明朝有多少任皇帝？
1783612#0	中国有哪些神话人物？
1483655#0	亚洲残疾人运动会第二届在哪里举办？
5884300#0	《英雄联盟》是哪一公司开发的游戏？
6506172#0	土耳其的国旗有哪几种颜色？
3600510#0	AKB48成员有多少？
922161#0	中国古代的兵器有哪些？
1011949#0	基督教有哪些习俗？
5517266#0	加拿大魁北克适用哪种法系？
5568297#0	印度的主要宗教包括哪些？
3218860#0	欧洲最庞大的邮轮有哪些？
7313153#0	江苏省的省会是哪里？
2883614#0	台湾盛产哪些水果？
55639#0	联邦资料处理标准有哪些？
58811#0	中医有哪些治疗手段？
101967#0	北洋军阀的领袖有谁？
7851850#0	世界四大宗教有哪些？
6154509#0	香港有哪些粤语歌手？
582983#0	生姜有哪些疗效？
7788449#0	《三国演义》的作者是谁？
6138861#0	法国的首都位于哪里？
441713#0	中国农业大学在哪些地方有校区？
6644624#0	2022年大运会在哪里举办？
5475245#0	《辛丑条约》有哪些不平等条约？
207139#0	美国有哪些心理学著作？
990658#0	中国一级保护植物有哪些？
6139701#0	谓词逻辑有效推理规则有哪些？
1580718#0	荷兰的国旗有哪几种颜色？
1149080#0	全运会武术比赛项目有哪些？
5375047#0	福建省的简称是什么？
6324859#0	美国和墨西哥有哪些贸易协定？
3785624#0	藏传佛教有哪四大教派？
6834767#0	美国有哪些心理学著作？
1621362#0	俄国十月革命什么时候爆发的？
3968770#0	苏格兰皇室成员有哪些？
132154#0	中国共产党第一次代表大会在哪里召开？
286389#0	台儿庄大捷有哪些意义？
7205980#0	古罗马有哪些知名建筑？
462747#0	《武林外传》电视剧的主演有谁？
380352#0	红军参与了哪些主要战斗？
6494365#0	戏剧有哪些主要分类？
4285150#0	欧洲五大足球联赛有哪些？
4673992#0	任天堂有哪些单机游戏？
6064552#0	TVB有哪些知名节目？
1170976#0	真菌有哪些繁殖方式？
1545783#0	中信集团有哪些金融业务？
1757151#0	唐朝的开国皇帝是谁？
6316684#0	北魏的首都是哪里？
5397481#0	第一位登上月球的人是谁？
5034826#0	淮海战役发生在哪一年？
7193921#0	北宋八大家是谁？
1677980#0	北京有哪些公园？
5415484#0	南美洲有哪些国家？
535942#0	微软有哪些软件产品？
5177867#0	上海市有哪些外资企业？
6717135#0	新加披有哪些旅游景点？
5070892#0	阿尔卑斯山脉最高峰多高？
185288#0	古希腊三贤有谁？
3359372#0	古罗马有哪些文化遗产？
1182284#0	加拿大位于哪一大洲？
6108058#0	噬菌体有哪些繁殖特点？
108005#0	自燃有哪些分类？
2899573#0	中国古代有哪些著名天文学家？
6487344#0	日本现在有哪些皇室成员？
1276217#0	壮族主要分布在中国哪里？
518681#0	苏联解体成为哪几个国家？
7523029#0	俄罗斯国旗有哪几种颜色？
57721#0	世界上有哪几种主要语言？
595540#0	广州有哪些高新技术产业？
489794#0	台湾有哪些篮球队？
6333867#0	古希腊三贤是谁？
6690174#0	英国国旗有哪些颜色？
4814556#0	日本有哪些国际游戏公司？
923549#0	柠檬有哪些功效？
3468695#0	德国首都在哪里？
7644609#0	八大行星有哪些？
138152#0	古典钢琴有多少琴键？
5058016#0	叙利亚的首都在哪里？
7194170#0	加拿大的首都是哪里？
518781#0	兵家有哪些代表人物？
5899426#0	中国有哪些数学家？
7491300#0	台湾有哪些景点？
922010#0	英国有哪些摇滚乐队？
6256705#0	泰国哪一年与中国建交？
2965945#0	印度尼西亚现任总统是谁？
528455#0	法国有哪些奇幻小说？
7761405#0	北海道属与哪种气候？
6503462#0	环戊丙酸睾丸酮有哪些不良反应？
1641541#0	中国有哪些书法家？
6537783#0	法国最好的大学有哪些？
2902636#0	台湾有哪些城市？
3671096#0	美国有哪些航空公司？
134597#0	灵长类动物有哪些？
495869#0	香港四大天王都有谁？
7811785#0	法国有哪些时装品牌？
5189204#0	塔吉克斯坦的首都在哪里？
1898399#0	宁夏有哪些铁路线？
7296293#0	有机化合物有哪些结构特点？
5202422#0	唐代最后一任皇帝是谁？
1200687#0	广州有哪些美食？
5481200#0	南京大学排名多少？
2970581#0	忍术有哪些招数？
7412373#0	美国第一座核电站是什么？
4490314#0	北京有哪些地标建筑？
1935248#0	白俄罗斯有多少人口？
1234870#0	坦克有哪些装置组成？
7169580#0	俄罗斯属于哪个大洲？
310082#0	浙江绍兴有哪些作家？
1516099#0	天津有哪些美食？
997826#0	中国二级保护植物有哪些？
490430#0	中国有哪些手球选手？
2851683#0	甘肃省省会是哪里？
7339225#0	病毒有哪些传播途径？
6956980#0	苏联有哪些作家？
4441011#0	国际上流通的货币有哪些？
5746421#0	浙江卫视有哪些户外综艺？
1508718#0	香港有哪些综艺节目？
7395021#0	中国四大名醋有哪些？
5645414#0	乌克兰的首都是哪里？
1580523#0	法兰克王国有哪些国家领袖？
362110#0	北洋水师的创始人是谁？
7135479#0	香港实行什么法律制度？
428529#0	地中海气候有哪些特点？
5224308#0	菲律宾有哪些民族？
7364238#0	卢浮宫收藏了哪些作品？
794702#0	香港迪士尼有哪些景点？
69794#0	日本有哪些角色扮演游戏？
1831050#0	意大利国旗有哪几种颜色？
4006608#0	苏联有哪些军事活动?
387668#0	项目经理的职责是什么？
403243#0	越南国防部部长是谁？
3536692#0	河南省简称是什么？
5182332#0	查谟-克什米尔在哪里？
577235#0	中国有哪些慈善活动？
5505272#0	巴基斯坦首都在哪里？
148948#0	Google公司创始人是谁？
6885160#0	韩国有哪些出口电视剧？
5315781#0	巴拿马属于哪一大洲？
6829684#0	泰勒斯威夫特的代表歌曲有哪些？
3609414#0	氯化铋有哪些化学反应？
5495005#0	有机化合物有哪些特点？
584701#0	诺贝尔物理学奖获得者都有谁？
53897#0	南宋首都在哪里？
119027#0	中国有哪些知名动画导演？
136026#0	瑞典现任国王是谁？
1149438#0	傣族分布在中国哪些省份？
7067011#0	那些国家有迪士尼乐园？
2973441#0	天主教教义是什么？
7642235#0	澳大利亚的首都是哪里？
2839530#0	波兰的首都是哪里？
4117208#0	韩国出口的电视剧有哪些？
3146101#0	文艺复兴产生的原因有哪些？
2998779#0	荷属东印度的首都在哪里？
1732264#0	火星有哪些特征？
1022676#0	云南有哪些特有鸟类？
4468912#0	中国有哪些电视台？
2804550#0	唐代有哪些知名诗人？
5694098#0	中国有哪些创业项目？
1247411#0	埃塞俄比亚首都是哪里？
3413466#0	冰岛位于哪一大洲？
3738756#0	中国最长的河是那条？
1885930#0	世界上哪些国家信天主教？
